Side,Stand,Trap,X,Y,FirstYearData,2009,2010,2011,2012,2013,2014,2015,2016,2017
E,AB08,1,38.8,57.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,2,45.2,58.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,3,48.7,60.2,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,4,51.8,58.9,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,5,58.5,57.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,6,62.6,58.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,1,33.3,60.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,2,39.4,59.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,3,43.9,61.2,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,4,49.7,62.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,5,53.9,62.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,6,57.9,62.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,1,41.4,61.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,2,44.3,62,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,3,53.4,63.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,4,56.7,62.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,5,63.4,64.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,6,67.2,61.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,1,41,56.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,2,45,60.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,3,52.2,57.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,4,56.9,60.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,5,60.9,59.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,PP17,6,66.4,59,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,1,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,2,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,3,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,4,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,5,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,SUNR,6,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,1,39,62.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,2,46.6,62,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,3,50,61.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,4,54.9,61.9,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,5,62,61.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,TA01,6,66.3,60.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,1,45.7,63.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,2,51.2,53.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,3,55,59.2,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,4,58.9,68.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,5,65.9,64.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,AV14,6,68.6,62.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,1,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,2,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,3,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,4,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,5,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,SPRY,6,NA,NA,2011,NA,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,1,38.3,59.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,2,41.1,67.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,3,45.8,71.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,4,50.4,71.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,5,55,75.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
NW,TO11,6,57.5,76.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,1,32.4,63.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,2,39.4,55.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,3,42.6,52.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,4,47.8,52.7,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,5,51.8,53.3,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AE10,6,55.9,48.4,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,1,42.1,65,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,2,46.8,61.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,3,51.4,62.7,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,4,58.3,60.9,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,5,61.5,55.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AG05,6,66.8,52.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,1,35.5,57.9,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,2,40.4,58,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,3,43,63.4,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,4,47.9,60.8,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,5,55.9,60.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AM16,6,63.9,63.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,1,30.8,58.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,2,35.1,59.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,3,41.3,61.2,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,4,48.4,63.4,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,5,50.6,62.9,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AR07,6,55.9,63.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,1,33.3,65.4,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,2,39.5,65.9,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,3,45.1,63.7,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,4,45.2,62,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,5,50.9,61.8,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AV06,6,57.5,64.4,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AX15,1,41.9,53.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AX15,2,46.7,57.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AX15,3,53.1,56,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AX15,4,58.4,55.5,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.130725
SW,AX15,5,62.8,56.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,AX15,6,67.9,53.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.130725
SW,PARA,1,63,74.9,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,PARA,2,56.5,74.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.130725
SW,PARA,3,51.5,75.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,PARA,4,46.1,72.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,PARA,5,41.4,72.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,PARA,6,35.3,66.9,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,1,40.2,56.3,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,2,45.8,58.7,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,3,52.5,58,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,4,57.6,58.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,5,62.6,61.8,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TB13,6,66.3,62.1,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,1,39.3,62.2,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,2,46.2,60.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,3,51.2,61.5,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,4,56,62.6,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,5,61.2,64.8,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
SW,TO04,6,64.3,69,2009,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
