Side,Stand,Trap,FirstYearData,LastYearData,Size
E,AB08,1,2010,2022,0.17008125
E,AB08,2,2010,2022,0.17008125
E,AB08,3,2010,2022,0.17008125
E,AB08,4,2010,2022,0.17008125
E,AB08,5,2010,2022,0.17008125
E,AB08,6,2010,2022,0.17008125
E,AB08,7,2022,NA,NA
E,AB08,8,2022,NA,NA
E,AB08,9,2022,NA,NA
E,AB08,10,2022,NA,NA
E,AB08,11,2022,NA,NA
E,AB08,12,2022,NA,NA
E,AB08,13,2022,NA,NA
E,AB08,14,2022,NA,NA
E,AB08,15,2022,NA,NA
SW,AE10,1,2009,2022,0.17008125
SW,AE10,2,2009,2022,0.17008125
SW,AE10,3,2009,2022,0.17008125
SW,AE10,4,2009,2022,0.17008125
SW,AE10,5,2009,2022,0.17008125
SW,AE10,6,2009,2022,0.130725
SW,AE10,7,2022,NA,NA
SW,AE10,8,2022,NA,NA
SW,AE10,9,2022,NA,NA
SW,AE10,10,2022,NA,NA
SW,AE10,11,2022,NA,NA
SW,AE10,12,2022,NA,NA
SW,AE10,13,2022,NA,NA
SW,AE10,14,2022,NA,NA
SW,AE10,15,2022,NA,NA
SW,AG05,1,2009,2022,0.17008125
SW,AG05,2,2009,2022,0.17008125
SW,AG05,3,2009,2022,0.17008125
SW,AG05,4,2009,2022,0.17008125
SW,AG05,5,2009,2022,0.17008125
SW,AG05,6,2009,2022,0.17008125
SW,AG05,7,2022,NA,NA
SW,AG05,8,2022,NA,NA
SW,AG05,9,2022,NA,NA
SW,AG05,10,2022,NA,NA
SW,AG05,11,2022,NA,NA
SW,AG05,12,2022,NA,NA
SW,AG05,13,2022,NA,NA
SW,AG05,14,2022,NA,NA
SW,AG05,15,2022,NA,NA
SW,AM16,1,2009,2022,0.130725
SW,AM16,2,2009,2022,0.17008125
SW,AM16,3,2009,2022,0.17008125
SW,AM16,4,2009,2022,0.17008125
SW,AM16,5,2009,2022,0.17008125
SW,AM16,6,2009,2022,0.17008125
SW,AM16,7,2022,NA,NA
SW,AM16,8,2022,NA,NA
SW,AM16,9,2022,NA,NA
SW,AM16,10,2022,NA,NA
SW,AM16,11,2022,NA,NA
SW,AM16,12,2022,NA,NA
SW,AM16,13,2022,NA,NA
SW,AM16,14,2022,NA,NA
SW,AM16,15,2022,NA,NA
E,AO03,1,2010,2022,0.17008125
E,AO03,2,2010,2022,0.17008125
E,AO03,3,2010,2022,0.17008125
E,AO03,4,2010,2022,0.17008125
E,AO03,5,2010,2022,0.17008125
E,AO03,6,2010,2022,0.17008125
E,AO03,7,2022,NA,NA
E,AO03,8,2022,NA,NA
E,AO03,9,2022,NA,NA
E,AO03,10,2022,NA,NA
E,AO03,11,2022,NA,NA
E,AO03,12,2022,NA,NA
E,AO03,13,2022,NA,NA
E,AO03,14,2022,NA,NA
E,AO03,15,2022,NA,NA
SW,AR07,1,2009,2020,0.17008125
SW,AR07,2,2009,2020,0.17008125
SW,AR07,3,2009,2020,0.17008125
SW,AR07,4,2009,2020,0.17008125
SW,AR07,5,2009,2020,0.130725
SW,AR07,6,2009,2020,0.17008125
E,AV02,1,2010,2020,0.17008125
E,AV02,2,2010,2020,0.17008125
E,AV02,3,2010,2020,0.17008125
E,AV02,4,2010,2020,0.17008125
E,AV02,5,2010,2020,0.17008125
E,AV02,6,2010,2020,0.17008125
SW,AV06,1,2009,2022,0.17008125
SW,AV06,2,2009,2022,0.17008125
SW,AV06,3,2009,2022,0.17008125
SW,AV06,4,2009,2022,0.17008125
SW,AV06,5,2009,2022,0.17008125
SW,AV06,6,2009,2022,0.17008125
SW,AV06,7,2022,NA,NA
SW,AV06,8,2022,NA,NA
SW,AV06,9,2022,NA,NA
SW,AV06,10,2022,NA,NA
SW,AV06,11,2022,NA,NA
SW,AV06,12,2022,NA,NA
SW,AV06,13,2022,NA,NA
SW,AV06,14,2022,NA,NA
SW,AV06,15,2022,NA,NA
NW,AV14,1,2010,2020,0.17008125
NW,AV14,2,2010,2020,0.17008125
NW,AV14,3,2010,2020,0.17008125
NW,AV14,4,2010,2020,0.17008125
NW,AV14,5,2010,2020,0.17008125
NW,AV14,6,2010,2020,0.17008125
SW,AX15,1,2009,2020,0.17008125
SW,AX15,2,2009,2020,0.17008125
SW,AX15,3,2009,2020,0.17008125
SW,AX15,4,2009,2020,0.130725
SW,AX15,5,2009,2020,0.17008125
SW,AX15,6,2009,2020,0.130725
SW,PARA,1,2010,2024,0.17008125
SW,PARA,2,2010,2024,0.130725
SW,PARA,3,2010,2024,0.17008125
SW,PARA,4,2010,2024,0.17008125
SW,PARA,5,2010,2024,0.17008125
SW,PARA,6,2010,2024,0.17008125
SW,PARA,7,2024,NA,NA
SW,PARA,8,2024,NA,NA
SW,PARA,9,2024,NA,NA
SW,PARA,10,2024,NA,NA
SW,PARA,11,2024,NA,NA
SW,PARA,12,2024,NA,NA
SW,PARA,13,2024,NA,NA
SW,PARA,14,2024,NA,NA
SW,PARA,15,2024,NA,NA
E,PP17,1,2010,2020,0.17008125
E,PP17,2,2010,2020,0.17008125
E,PP17,3,2010,2020,0.17008125
E,PP17,4,2010,2020,0.17008125
E,PP17,5,2010,2020,0.17008125
E,PP17,6,2010,2020,0.17008125
NW,SPRY,1,2011,2020,0.17008125
NW,SPRY,2,2011,2020,0.17008125
NW,SPRY,3,2011,2020,0.17008125
NW,SPRY,4,2011,2020,0.17008125
NW,SPRY,5,2011,2020,0.17008125
NW,SPRY,6,2011,2020,0.17008125
E,SUNR,1,2011,NA,0.17008125
E,SUNR,2,2011,NA,0.17008125
E,SUNR,3,2011,NA,0.130725
E,SUNR,4,2011,NA,0.17008125
E,SUNR,5,2011,NA,0.17008125
E,SUNR,6,2011,NA,0.17008125
E,TA01,1,2010,2022,0.17008125
E,TA01,2,2010,2022,0.17008125
E,TA01,3,2010,2022,0.17008125
E,TA01,4,2010,2022,0.17008125
E,TA01,5,2010,2022,0.17008125
E,TA01,6,2010,2022,0.17008125
E,TA01,7,2022,NA,NA
E,TA01,8,2022,NA,NA
E,TA01,9,2022,NA,NA
E,TA01,10,2022,NA,NA
E,TA01,11,2022,NA,NA
E,TA01,12,2022,NA,NA
E,TA01,13,2022,NA,NA
E,TA01,14,2022,NA,NA
E,TA01,15,2022,NA,NA
SW,TB13,1,2009,2020,0.17008125
SW,TB13,2,2009,2020,0.17008125
SW,TB13,3,2009,2020,0.17008125
SW,TB13,4,2009,2020,0.17008125
SW,TB13,5,2009,2020,0.17008125
SW,TB13,6,2009,2020,0.17008125
SW,TO04,1,2009,2022,0.17008125
SW,TO04,2,2009,2022,0.17008125
SW,TO04,3,2009,2022,0.17008125
SW,TO04,4,2009,2022,0.17008125
SW,TO04,5,2009,2022,0.17008125
SW,TO04,6,2009,2022,0.17008125
SW,TO04,7,2022,NA,NA
SW,TO04,8,2022,NA,NA
SW,TO04,9,2022,NA,NA
SW,TO04,10,2022,NA,NA
SW,TO04,11,2022,NA,NA
SW,TO04,12,2022,NA,NA
SW,TO04,13,2022,NA,NA
SW,TO04,14,2022,NA,NA
SW,TO04,15,2022,NA,NA
NW,TO11,1,2010,2020,0.17008125
NW,TO11,2,2010,2020,0.17008125
NW,TO11,3,2010,2020,0.17008125
NW,TO11,4,2010,2020,0.130725
NW,TO11,5,2010,2020,0.17008125
NW,TO11,6,2010,2020,0.17008125
